year,country,rank_bin,app_type,unknown_ratio
2017,dk,"[40, 50)",Free,23.895027624309392
2017,dk,"[40, 50)",Paid,48.324022346368714
2017,dk,"[50, 60)",Free,25.74585635359116
2017,dk,"[50, 60)",Paid,50.05675368898979
2017,dk,"[60, 70)",Free,27.513812154696133
2017,dk,"[60, 70)",Paid,52.38636363636363
2017,dk,"[70, 80)",Free,30.441988950276244
2017,dk,"[70, 80)",Paid,53.26704545454546
2017,dk,"[80, 90)",Free,34.50276243093923
2017,dk,"[80, 90)",Paid,54.14772727272727
2017,dk,"[90, 100)",Free,36.32596685082873
2017,dk,"[90, 100)",Paid,51.303351475222
2017,dk,"[100, 110)",Free,40.55944055944056
2017,dk,"[100, 110)",Paid,49.30121914956884
2017,dk,"[110, 120)",Free,40.44817927170868
2017,dk,"[110, 120)",Paid,49.64766175528507
2017,dk,"[120, 130)",Free,41.792717086834735
2017,dk,"[120, 130)",Paid,50.566727605118835
2017,dk,"[130, 140)",Free,40.50420168067227
2017,dk,"[130, 140)",Paid,49.16
2017,dk,"[140, 150)",Free,44.36974789915966
2017,dk,"[140, 150)",Paid,49.64
2017,dk,"[150, 160)",Free,42.661064425770306
2017,dk,"[150, 160)",Paid,48.84
2017,dk,"[160, 170)",Free,41.65266106442577
2017,dk,"[160, 170)",Paid,51.519999999999996
2017,dk,"[170, 180)",Free,43.13725490196079
2017,dk,"[170, 180)",Paid,50.68
2017,dk,"[180, 190)",Free,42.60504201680672
2017,dk,"[180, 190)",Paid,49.32
2017,dk,"[190, 200)",Free,42.661064425770306
2017,dk,"[190, 200)",Paid,51.6
2017,es,"[0, 10)",Free,11.265432098765432
2017,es,"[0, 10)",Paid,71.00646352723915
2017,es,"[10, 20)",Free,30.194444444444446
2017,es,"[10, 20)",Paid,66.28808864265928
2017,es,"[20, 30)",Free,34.36111111111111
2017,es,"[20, 30)",Paid,60.554016620498615
2017,es,"[30, 40)",Free,29.638888888888886
2017,es,"[30, 40)",Paid,60.74792243767313
2017,es,"[40, 50)",Free,28.166666666666668
2017,es,"[40, 50)",Paid,62.02216066481995
2017,es,"[50, 60)",Free,29.388888888888886
2017,es,"[50, 60)",Paid,57.92243767313019
2017,es,"[60, 70)",Free,31.5
2017,es,"[60, 70)",Paid,59.362880886426595
2017,es,"[70, 80)",Free,31.38888888888889
2017,es,"[70, 80)",Paid,58.80886426592797
2017,es,"[80, 90)",Free,32.416666666666664
2017,es,"[80, 90)",Paid,60.88642659279778
2017,es,"[90, 100)",Free,34.27777777777778
2017,es,"[90, 100)",Paid,61.440443213296405
2017,es,"[100, 110)",Free,33.36118072960178
2017,es,"[100, 110)",Paid,62.09879988836171
2017,es,"[110, 120)",Free,35.18105849582172
2017,es,"[110, 120)",Paid,58.93854748603352
2017,es,"[120, 130)",Free,37.21448467966574
2017,es,"[120, 130)",Paid,59.74860335195531
2017,es,"[130, 140)",Free,36.04456824512535
2017,es,"[130, 140)",Paid,59.273743016759774
2017,es,"[140, 150)",Free,37.74373259052925
2017,es,"[140, 150)",Paid,60.08379888268156
2017,es,"[150, 160)",Free,37.68802228412256
2017,es,"[150, 160)",Paid,60.00558971492453
2017,es,"[160, 170)",Free,36.96378830083565
2017,es,"[160, 170)",Paid,59.77591036414566
2017,es,"[170, 180)",Free,36.211699164345404
2017,es,"[170, 180)",Paid,58.96358543417367
2017,es,"[180, 190)",Free,35.76601671309192
2017,es,"[180, 190)",Paid,59.91596638655462
2017,es,"[190, 200)",Free,37.71587743732591
2017,es,"[190, 200)",Paid,60.51080550098232
2017,fr,"[0, 10)",Free,7.774716865625956
2017,fr,"[0, 10)",Paid,76.67280540208718
2017,fr,"[10, 20)",Free,25.674931129476587
2017,fr,"[10, 20)",Paid,60.69060773480663
2017,fr,"[20, 30)",Free,38.15426997245179
2017,fr,"[20, 30)",Paid,65.0828729281768
2017,fr,"[30, 40)",Free,36.69421487603306
2017,fr,"[30, 40)",Paid,64.4475138121547
2017,fr,"[40, 50)",Free,43.08539944903581
2017,fr,"[40, 50)",Paid,63.34254143646408
2017,fr,"[50, 60)",Free,49.09090909090909
2017,fr,"[50, 60)",Paid,63.39779005524861
2017,fr,"[60, 70)",Free,48.84297520661157
2017,fr,"[60, 70)",Paid,64.41988950276243
2017,fr,"[70, 80)",Free,50.52341597796143
2017,fr,"[70, 80)",Paid,64.2817679558011
2017,fr,"[80, 90)",Free,47.74104683195593
2017,fr,"[80, 90)",Paid,64.47513812154696
2017,fr,"[90, 100)",Free,47.30027548209366
2017,fr,"[90, 100)",Paid,64.3646408839779
2017,fr,"[100, 110)",Free,46.340789837061585
2017,fr,"[100, 110)",Paid,64.88507338687344
2017,fr,"[110, 120)",Free,43.48066298342542
2017,fr,"[110, 120)",Paid,65.8448753462604
2017,fr,"[120, 130)",Free,41.68508287292818
2017,fr,"[120, 130)",Paid,63.988919667590025
2017,fr,"[130, 140)",Free,38.92265193370166
2017,fr,"[130, 140)",Paid,64.09972299168976
2017,fr,"[140, 150)",Free,42.04419889502763
2017,fr,"[140, 150)",Paid,65.2619905738841
2017,fr,"[150, 160)",Free,39.94475138121547
2017,fr,"[150, 160)",Paid,64.36140546569995
2017,fr,"[160, 170)",Free,40.66298342541437
2017,fr,"[160, 170)",Paid,65.13994910941476
2017,fr,"[170, 180)",Free,40.35911602209944
2017,fr,"[170, 180)",Paid,65.1156151869826
2017,fr,"[180, 190)",Free,41.29834254143646
2017,fr,"[180, 190)",Paid,64.2
2017,fr,"[190, 200)",Free,42.209944751381215
2017,fr,"[190, 200)",Paid,66.25714285714285
2017,gb,"[0, 10)",Free,7.059545733578883
2017,gb,"[0, 10)",Paid,61.60220994475139
2017,gb,"[10, 20)",Free,18.867403314917127
2017,gb,"[10, 20)",Paid,62.26519337016575
2017,gb,"[20, 30)",Free,26.2707182320442
2017,gb,"[20, 30)",Paid,64.2817679558011
2017,gb,"[30, 40)",Free,35.110497237569064
2017,gb,"[30, 40)",Paid,50.994475138121544
2017,gb,"[40, 50)",Free,34.69613259668508
2017,gb,"[40, 50)",Paid,53.056708160442604
2017,gb,"[50, 60)",Free,36.32596685082873
2017,gb,"[50, 60)",Paid,55.42936288088642
2017,gb,"[60, 70)",Free,35.85635359116022
2017,gb,"[60, 70)",Paid,53.850415512465375
2017,gb,"[70, 80)",Free,35.690607734806626
2017,gb,"[70, 80)",Paid,55.152354570637115
2017,gb,"[80, 90)",Free,35.71823204419889
2017,gb,"[80, 90)",Paid,54.70914127423823
2017,gb,"[90, 100)",Free,33.89502762430939
2017,gb,"[90, 100)",Paid,53.767313019390585
2017,gb,"[100, 110)",Free,36.139573525339244
2017,gb,"[100, 110)",Paid,55.62343793390725
2017,gb,"[110, 120)",Free,37.59002770083102
2017,gb,"[110, 120)",Paid,58.09232480533927
2017,gb,"[120, 130)",Free,38.088642659279785
2017,gb,"[120, 130)",Paid,57.15877437325906
2017,gb,"[130, 140)",Free,35.45706371191136
2017,gb,"[130, 140)",Paid,57.63231197771588
2017,gb,"[140, 150)",Free,37.257617728531855
2017,gb,"[140, 150)",Paid,57.799442896935936
2017,gb,"[150, 160)",Free,36.20498614958449
2017,gb,"[150, 160)",Paid,60.83565459610028
2017,gb,"[160, 170)",Free,38.282548476454295
2017,gb,"[160, 170)",Paid,59.35933147632312
2017,gb,"[170, 180)",Free,40.13850415512466
2017,gb,"[170, 180)",Paid,59.13649025069638
2017,gb,"[180, 190)",Free,40.88642659279779
2017,gb,"[180, 190)",Paid,59.83286908077995
2017,gb,"[190, 200)",Free,42.21606648199446
2017,gb,"[190, 200)",Paid,61.11420612813371
2017,it,"[0, 10)",Free,23.17110498928681
2017,it,"[0, 10)",Paid,75.51270278543006
2017,it,"[10, 20)",Free,26.639118457300277
2017,it,"[10, 20)",Paid,63.22314049586777
2017,it,"[20, 30)",Free,26.942148760330582
